Channel, Sequential, Size, Real_Size, Date 
4, 44232128, 12416, 136312, 2019-11-23 23:30:36
4, 44232188, 12350, 132682, 2019-11-23 23:30:38
4, 44232248, 12393, 135562, 2019-11-23 23:30:40
4, 44232308, 11030, 134186, 2019-11-23 23:30:42
4, 44232368, 11133, 133447, 2019-11-23 23:30:44
4, 44232428, 11292, 135994, 2019-11-23 23:30:46
4, 44232488, 11100, 133567, 2019-11-23 23:30:48
4, 44232548, 12263, 133508, 2019-11-23 23:30:50
4, 44232608, 11224, 135368, 2019-11-23 23:30:52
4, 44232668, 12455, 134538, 2019-11-23 23:30:54
4, 44232728, 12181, 81565, 2019-11-23 23:30:56
5, 44230863, 10857, 134350, 2019-11-23 23:30:26
5, 44230923, 9704, 134798, 2019-11-23 23:30:28
5, 44230983, 10783, 133632, 2019-11-23 23:30:30
5, 44231043, 9669, 134463, 2019-11-23 23:30:32
5, 44231103, 10803, 134403, 2019-11-23 23:30:34
5, 44231163, 10834, 134621, 2019-11-23 23:30:36
5, 44231223, 10814, 133558, 2019-11-23 23:30:38
5, 44231283, 10885, 134911, 2019-11-23 23:30:40
5, 44231343, 10793, 134349, 2019-11-23 23:30:42
5, 44231403, 10788, 133803, 2019-11-23 23:30:44
5, 44231463, 9498, 134558, 2019-11-23 23:30:46
5, 44231523, 9517, 133971, 2019-11-23 23:30:48
5, 44231583, 9552, 134705, 2019-11-23 23:30:50
5, 44231643, 9473, 134981, 2019-11-23 23:30:52
5, 44231703, 10662, 134093, 2019-11-23 23:30:54
5, 44231763, 10692, 79576, 2019-11-23 23:30:56
6, 44232081, 16359, 130545, 2019-11-23 23:30:26
6, 44232141, 14855, 131776, 2019-11-23 23:30:28
6, 44232201, 13614, 138218, 2019-11-23 23:30:30
6, 44232261, 14705, 138119, 2019-11-23 23:30:32
6, 44232321, 14833, 127331, 2019-11-23 23:30:34
6, 44232381, 14779, 135171, 2019-11-23 23:30:36
6, 44232441, 13623, 140697, 2019-11-23 23:30:38
6, 44232501, 13611, 136544, 2019-11-23 23:30:40
6, 44232561, 14808, 126405, 2019-11-23 23:30:42
